TIME_PERIOD,OBS_VALUE,Tau
09JAN2020,0.313778009,25
09JAN2020,0.3292970826,26
09JAN2020,0.3437148165,27
09JAN2020,0.357137549,28
09JAN2020,0.3696597183,29
09JAN2020,0.3813652051,30
10JAN2020,-0.6125342,1
10JAN2020,-0.607243214,2
10JAN2020,-0.577954235,3
10JAN2020,-0.532473394,4
10JAN2020,-0.476935688,5
10JAN2020,-0.415976015,6
10JAN2020,-0.352970445,7
10JAN2020,-0.290285884,8
10JAN2020,-0.22950798,9
10JAN2020,-0.171635129,10
10JAN2020,-0.117236217,11
10JAN2020,-0.066574672,12
10JAN2020,-0.019703399,13
10JAN2020,0.0234642109,14
10JAN2020,0.0631023436,15
10JAN2020,0.0994355795,16
10JAN2020,0.1327129246,17
10JAN2020,0.1631901773,18
10JAN2020,0.1911183899,19
10JAN2020,0.2167367039,20
10JAN2020,0.2402682619,21
10JAN2020,0.2619182392,22
10JAN2020,0.28187329,23
10JAN2020,0.3003019096,24
10JAN2020,0.317355353,25
10JAN2020,0.3331688665,26
10JAN2020,0.3478630621,27
10JAN2020,0.361545327,28
10JAN2020,0.3743111961,29
10JAN2020,0.3862456478,30
13JAN2020,-0.598258303,1
13JAN2020,-0.596301499,2
13JAN2020,-0.566449898,3
13JAN2020,-0.518495059,4
13JAN2020,-0.45972263,5
13JAN2020,-0.395404852,6
13JAN2020,-0.32924562,7
13JAN2020,-0.263757945,8
13JAN2020,-0.200570897,9
13JAN2020,-0.140671647,10
13JAN2020,-0.084591727,11
13JAN2020,-0.032547449,12
13JAN2020,0.0154562105,13
13JAN2020,0.0595501144,14
13JAN2020,0.0999471167,15
13JAN2020,0.1369044293,16
13JAN2020,0.1706979461,17
13JAN2020,0.2016052521,18
13JAN2020,0.2298948414,19
13JAN2020,0.255819699,20
13JAN2020,0.2796138909,21
13JAN2020,0.3014911784,22
13JAN2020,0.3216449527,23
13JAN2020,0.340248993,24
13JAN2020,0.3574587048,25
13JAN2020,0.3734126024,26
13JAN2020,0.3882338818,27
13JAN2020,0.4020319835,28
13JAN2020,0.4149040851,29
13JAN2020,0.4269364878,30
14JAN2020,-0.602282172,1
14JAN2020,-0.596558925,2
14JAN2020,-0.566982494,3
14JAN2020,-0.521234656,4
14JAN2020,-0.465399811,5
14JAN2020,-0.404100358,6
14JAN2020,-0.340717716,7
14JAN2020,-0.277630928,8
14JAN2020,-0.216438882,9
14JAN2020,-0.15815168,10
14JAN2020,-0.103347433,11
14JAN2020,-0.052296196,12
14JAN2020,-0.005055204,13
14JAN2020,0.0384596952,14
14JAN2020,0.0784216526,15
14JAN2020,0.1150552425,16
14JAN2020,0.1486101669,17
14JAN2020,0.1793433678,18
14JAN2020,0.2075072984,19
14JAN2020,0.2333426207,20
14JAN2020,0.2570740239,21
14JAN2020,0.2789081916,22
14JAN2020,0.2990332106,23
14JAN2020,0.3176189099,24
14JAN2020,0.3348177697,25
14JAN2020,0.3507661505,26
14JAN2020,0.3655856707,27
14JAN2020,0.3793846214,28
14JAN2020,0.3922593473,29
14JAN2020,0.4042955501,30
15JAN2020,-0.608063881,1
15JAN2020,-0.607270918,2
15JAN2020,-0.581297288,3
15JAN2020,-0.538297842,4
15JAN2020,-0.484651913,5
15JAN2020,-0.425164907,6
15JAN2020,-0.363331544,7
15JAN2020,-0.301601198,8
15JAN2020,-0.241616866,9
15JAN2020,-0.184416943,10
15JAN2020,-0.130598382,11
15JAN2020,-0.080444483,12
15JAN2020,-0.034022412,13
15JAN2020,0.0087440323,14
15JAN2020,0.048021278,15
15JAN2020,0.0840279855,16
15JAN2020,0.1170085281,17
15JAN2020,0.1472149868,18
15JAN2020,0.1748953613,19
15JAN2020,0.2002862341,20
15JAN2020,0.2236085668,21
15JAN2020,0.2450656495,22
15JAN2020,0.2648424912,23
15JAN2020,0.2831061399,24
15JAN2020,0.3000065704,25
15JAN2020,0.3156778923,26
15JAN2020,0.3302397057,27
15JAN2020,0.3437984947,28
15JAN2020,0.3564489874,29
15JAN2020,0.3682754404,30
16JAN2020,-0.610151983,1
16JAN2020,-0.607273251,2
16JAN2020,-0.581842727,3
16JAN2020,-0.540530428,4
16JAN2020,-0.488900998,5
16JAN2020,-0.431343327,6
16JAN2020,-0.371165592,7
16JAN2020,-0.310758144,8
16JAN2020,-0.251771273,9
16JAN2020,-0.195281373,10
16JAN2020,-0.141934142,11
16JAN2020,-0.09206182,12
16JAN2020,-0.045775655,13
16JAN2020,-0.003036744,14
