Date,AAPL,MSFT,GOOGL,AMZN,NVDA,META
2024-09-06,220.82000732421875,401.70001220703125,150.9199981689453,171.38999938964844,102.83000183105469,500.2699890136719
2024-09-09,220.91000366210938,405.7200012207031,148.7100067138672,175.39999389648438,106.47000122070312,504.7900085449219
2024-09-10,220.11000061035156,414.20001220703125,148.66000366210938,179.5500030517578,108.0999984741211,504.7900085449219
2024-09-11,222.66000366210938,423.0400085449219,151.16000366210938,184.52000427246094,116.91000366210938,511.8299865722656
2024-09-12,222.77000427246094,427.0,154.69000244140625,187.0,119.13999938964844,525.5999755859375
2024-09-13,222.5,430.5899963378906,157.4600067138672,186.49000549316406,119.0999984741211,524.6199951171875
2024-09-16,216.32000732421875,431.3399963378906,158.05999755859375,184.88999938964844,116.77999877929688,533.280029296875
2024-09-17,216.7899932861328,435.1499938964844,159.32000732421875,186.8800048828125,115.58999633789062,536.3200073242188
2024-09-18,220.69000244140625,430.80999755859375,159.80999755859375,186.42999267578125,113.37000274658203,537.9500122070312
2024-09-19,228.8699951171875,438.69000244140625,162.13999938964844,189.8699951171875,117.87000274658203,559.0999755859375
2024-09-20,228.1999969482422,435.2699890136719,163.58999633789062,191.60000610351562,116.0,561.3499755859375
2024-09-23,226.47000122070312,433.510009765625,161.85000610351562,193.8800048828125,116.26000213623047,564.4099731445312
