Date,AAPL,MSFT,GOOGL,AMZN,NVDA,META
2024-06-24,208.13999938964844,447.6700134277344,179.22000122070312,185.57000732421875,118.11000061035156,498.9100036621094
2024-06-25,209.07000732421875,450.95001220703125,184.02999877929688,186.33999633789062,126.08999633789062,510.6000061035156
2024-06-26,213.25,452.1600036621094,183.8800048828125,193.61000061035156,126.4000015258789,513.1199951171875
2024-06-27,214.10000610351562,452.8500061035156,185.41000366210938,197.85000610351562,123.98999786376953,519.5599975585938
2024-06-28,210.6199951171875,446.95001220703125,182.14999389648438,193.25,123.54000091552734,504.2200012207031
2024-07-01,216.75,456.7300109863281,182.99000549316406,197.1999969482422,124.30000305175781,504.67999267578125
2024-07-02,220.27000427246094,459.2799987792969,185.24000549316406,200.0,122.66999816894531,509.5
2024-07-03,221.5500030517578,460.7699890136719,185.82000732421875,197.58999633789062,128.27999877929688,509.9599914550781
2024-07-05,226.33999633789062,467.55999755859375,190.60000610351562,200.0,125.83000183105469,539.9099731445312
2024-07-08,227.82000732421875,466.239990234375,189.02999877929688,199.2899932861328,128.1999969482422,529.3200073242188
2024-07-09,228.67999267578125,459.5400085449219,188.97999572753906,199.33999633789062,131.3800048828125,530.0
2024-07-10,232.97999572753906,466.25,191.17999267578125,199.7899932861328,134.91000366210938,534.6900024414062
2024-07-11,227.57000732421875,454.70001220703125,185.57000732421875,195.0500030517578,127.4000015258789,512.7000122070312
2024-07-12,230.5399932861328,453.54998779296875,185.07000732421875,194.49000549316406,129.24000549316406,498.8699951171875
2024-07-15,234.39999389648438,453.9599914550781,186.52999877929688,192.72000122070312,128.44000244140625,496.1600036621094
2024-07-16,234.82000732421875,449.5199890136719,183.9199981689453,193.02000427246094,126.36000061035156,489.7900085449219
2024-07-17,228.8800048828125,443.5199890136719,181.02000427246094,187.92999267578125,117.98999786376953,461.989990234375
2024-07-18,224.17999267578125,440.3699951171875,177.69000244140625,183.75,121.08999633789062,475.8500061035156
2024-07-19,224.30999755859375,437.1099853515625,177.66000366210938,183.1300048828125,117.93000030517578,476.7900085449219
2024-07-22,223.9600067138672,442.94000244140625,181.6699981689453,182.5500030517578,123.54000091552734,487.3999938964844
2024-07-23,225.00999450683594,444.8500061035156,181.7899932861328,186.41000366210938,122.58999633789062,488.69000244140625
2024-07-24,218.5399932861328,428.8999938964844,172.6300048828125,180.8300018310547,114.25,461.2699890136719
2024-07-25,217.49000549316406,418.3999938964844,167.27999877929688,179.85000610351562,112.27999877929688,453.4100036621094
2024-07-26,217.9600067138672,425.2699890136719,167.0,182.5,113.05999755859375,465.70001220703125
2024-07-29,218.24000549316406,426.7300109863281,169.52999877929688,183.1999969482422,111.58999633789062,465.7099914550781
2024-07-30,218.8000030517578,422.9200134277344,170.2899932861328,181.7100067138672,103.7300033569336,463.19000244140625
2024-07-31,222.0800018310547,418.3500061035156,171.5399932861328,186.97999572753906,117.0199966430664,474.8299865722656
2024-08-01,218.36000061035156,417.1099853515625,170.75999450683594,184.07000732421875,109.20999908447266,497.739990234375
2024-08-02,219.86000061035156,408.489990234375,166.66000366210938,167.89999389648438,107.2699966430664,488.1400146484375
2024-08-05,209.27000427246094,395.1499938964844,159.25,161.02000427246094,100.44999694824219,475.7300109863281
2024-08-06,207.22999572753906,399.6099853515625,158.2899932861328,161.92999267578125,104.25,494.0899963378906
2024-08-07,209.82000732421875,398.42999267578125,158.94000244140625,162.77000427246094,98.91000366210938,488.9200134277344
2024-08-08,213.30999755859375,402.69000244140625,162.02999877929688,165.8000030517578,104.97000122070312,509.6300048828125
2024-08-09,216.24000549316406,406.0199890136719,163.6699981689453,166.94000244140625,104.75,517.77001953125
2024-08-12,217.52999877929688,406.80999755859375,162.2899932861328,166.8000030517578,109.0199966430664,515.9500122070312
2024-08-13,221.27000427246094,414.010009765625,164.16000366210938,170.22999572753906,116.13999938964844,528.5399780273438
2024-08-14,221.72000122070312,416.8599853515625,160.3699951171875,170.10000610351562,118.08000183105469,526.760009765625
2024-08-15,224.72000122070312,421.0299987792969,161.3000030517578,177.58999633789062,122.86000061035156,537.3300170898438
2024-08-16,226.0500030517578,418.4700012207031,162.9600067138672,177.05999755859375,124.58000183105469,527.4199829101562
2024-08-19,225.88999938964844,421.5299987792969,166.6699981689453,178.22000122070312,130.0,529.280029296875
2024-08-20,226.50999450683594,424.79998779296875,167.17999267578125,178.8800048828125,127.25,526.72998046875
2024-08-21,226.39999389648438,424.1400146484375,165.85000610351562,180.11000061035156,128.5,535.1599731445312
2024-08-22,224.52999877929688,415.54998779296875,163.8000030517578,176.1300048828125,123.73999786376953,531.9299926757812
2024-08-23,226.83999633789062,416.7900085449219,165.6199951171875,177.0399932861328,129.3699951171875,528.0
2024-08-26,227.17999267578125,413.489990234375,166.16000366210938,175.5,126.45999908447266,521.1199951171875
2024-08-27,228.02999877929688,413.8399963378906,164.67999267578125,173.1199951171875,128.3000030517578,519.0999755859375
2024-08-28,226.49000549316406,410.6000061035156,162.85000610351562,170.8000030517578,125.61000061035156,516.780029296875
2024-08-29,229.7899932861328,413.1199951171875,161.77999877929688,172.1199951171875,117.58999633789062,518.219970703125
2024-08-30,229.0,417.1400146484375,163.3800048828125,178.5,119.37000274658203,521.3099975585938
2024-09-03,222.77000427246094,409.44000244140625,157.36000061035156,176.25,108.0,511.760009765625
2024-09-04,220.85000610351562,408.8999938964844,156.4499969482422,173.3300018310547,106.20999908447266,512.739990234375
2024-09-05,222.3800048828125,408.3900146484375,157.24000549316406,177.88999938964844,107.20999908447266,516.8599853515625
